,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,language,sentence1,sentence2,label
0,0,0,0,English,"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","The exception was between late 2005 and 2009 , when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and the Russian FC Terek Grozny .",1
1,1,1,1,English,The Tabaci River is a tributary of the River Leurda in Romania .,The Leurda River is a tributary of the River Tabaci in Romania .,0
2,2,2,2,English,He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He played in 1993 with the A - Level Portland Sea Dogs and the AA Kane County Cougars .,0
3,3,3,3,English,"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of ACM , the IEEE , the Phi Beta Kappa and the Sigma Xi .",1
4,4,4,4,English,In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,In 1938 he became the Government Anthropologist of the Egyptian-Anglo Sudan and conducted fieldwork with the Nuba .,0
5,5,5,5,English,"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Black Adam appeared in the first four issues of `` Billy Batson '' , published between late 2008 and early 2009 .",0
6,6,6,6,English,The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The solar approach to this requirement is the use of solar panels in a conventionally powered aircraft .,1
7,7,7,7,English,"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","The police also questioned singer Rimi Tomy and actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .",1
8,8,8,8,English,"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are overlaid with colour-free , live played music and consist of vague , almost deliberately sparse orchestral sounds .",0
9,9,9,9,English,Holly was musically influenced by Elton John .,Holly Holly was influenced musically by Elton John .,1
10,10,10,10,English,The team responded to the changes in the next game the same evening on 19 February .,The team responded to the changes in the same game that next February 19 evening .,0
11,11,11,11,English,"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .",0
12,12,12,12,English,"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","The `` Fall Beil '' was used for the last time in West Germany in 1949 , in 1966 in East Germany .",1
13,13,13,13,English,The canal is one of the oldest navigable canals in Europe and in Belgium .,The canal is one of the oldest navigable canals in Belgium and indeed in Europe .,0
14,14,14,14,English,In 2009 he moved back to Philadelphia and lives in New York City today .,He moved back to Philadelphia in 2009 and now lives in New York City .,1
15,15,15,15,English,"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","He died on June 30 , 1954 , of stomach cancer in New York City . Claremore , Oklahoma is home to the Lynn Riggs Memorial .",0
16,16,16,16,English,"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Korneuburg , and spent his childhood in Stammersdorf , Vienna .",1
17,17,17,17,English,The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"The Keita dynasty ruled Mali from the 12th to the early 17th century , pre-imperial and imperial .",1
18,18,18,18,English,"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","`` Angel Eyes '' is a popular song composed by Earl Brent in 1946 , with texts by Matt Dennis .",0
19,19,19,19,English,The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,The music was written by Shyam and the lyrics by Sreekumaran Thampi and Sathyan Anthikkad composed .,1
20,20,20,20,English,"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The film was a commercial hit , and one of Sergio Sollima 's more political films , and less successful than the former spaghetti - director 's westerns .",0
21,21,21,21,English,Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kabir asks Sarika to reveal his plan to end Ranvir 's game to him .,1
22,22,22,22,English,The team responded to the changes in the next game the same evening on 19 February .,The team responded to the changes in the same game that took place next February evening .,0
23,23,23,23,English,"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant Robert Ramsey commissioned her to the North Sea in May 1805 , and Lieutenant John Gedge replaced him in 1806 .",0
24,24,24,24,English,Emma Townshend is represented by David Godwin at DGA Associates .,David David Godwin is represented at DGA Associates by Emma Townshend .,0
25,25,25,25,English,"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The Nashua Silver Knights , part of a current summer league , are the city 's collegiate team .",0
26,26,26,26,English,"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .",The Pennsylvania Route 268 leads from the west end of the bridge south to Parker and to the north to Emlenton .,1
27,27,27,27,English,"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","These were rare in the United Kingdom , but in Europe , at least for large locomotives , they are relatively common .",0
28,28,28,28,English,"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","He was born on December 21 , 1965 in Oxon Hill , Maryland , and attended High School in New Haven , Connecticut .",1
29,29,29,29,English,"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","In total , 28 US victims were killed , while Viet Cong losses were killed 345 and a further 192 estimated killed .",1
30,30,30,30,English,"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .","In CA , the title of Chartered Accountant ( Sri Lanka Sri Lanka ) can be used by only members of the Institute of Chartered Accountants of Sri Lanka .",1
31,31,31,31,English,"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","Following the acquisition of the remainder of E-Plus on 14 March , Simyo belongs to the Dutch telecommunications group KPN .",1
32,32,32,32,English,"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .",Robert White and Joshua Soule Zimmerman served alongside Kuykendall as a Chancery Commissioner for Hampshire County .,1
33,33,33,33,English,"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","These views were often expressed during the emergence of evangelical , puritanical , and protestant movements .",1
34,34,34,34,English,The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .,The 1973 -- 74 UEFA Cup was won by Feyenoord Rotterdam over Tottenham Hotspur 4 -- 2 on aggregate .,1
35,35,35,35,English,"Talfourd Ely was the grandson of John Towill Rutt , who was an early friend of Crabb Robinson .","Talfourd Ely was a grandson of Crabb Robinson , who was an early friend of John Towill Rutt .",0
36,36,36,36,English,"His father died in his youth , and his mother , Samuel Adams , married Catherine A. Fagan in 1842 , who two years later became the governor of Arkansas .","His father died during his youth and his mother , Catherine A. Fagan , in 1842 married Samuel Adams , who became Governor of Arkansas two years later .",0
37,37,37,37,English,"They also released the second track on the album , `` Vices '' , as the 5th single from the album on June 13 .","They also released the second track on the album , `` Vices '' , on 13th June as the 5th single from the album .",1
38,38,38,38,English,The Sydney Water Board had taken over the water supply for Sydney from the City Council in 1888 .,"In 1888 , the Sydney Water Board took over the water supply for Sydney from the city council .",1
39,39,39,39,English,"Also Cai Feng had a son , Cai Mao .","Cai Mao also had a son , Cai Feng .",0
40,40,40,40,English,"Its leaves are shaped alternately along the branches and have lance-arranged , egg-shaped or almost circular and are a stalk long .","Its leaves are arranged alternately along the branches and are lance-shaped , egg-shaped or almost circular and have a long stem .",0
41,41,41,41,English,This expanded the area of conflict between Massachusetts and the province of Rhode Island .,This widened the area of conflict between Rhode Island and the province of Massachusetts .,0
42,42,42,42,English,"Slough High School was a girls selective grammar school in Berkshire , now Slough , Buckinghamshire .","Slough High School was a selective girls ' grammar school in Slough , Buckinghamshire , now Berkshire .",0
43,43,43,43,English,"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","It is near Oughterard and Clifden , on the N59 road to Lough Corrib , in Connemara .",0
44,44,44,44,English,"While the exclusion of black players was not a written rule , no African-American had played in the National Football League since 1933 .","While the exclusion of African players was not a written rule , no black American player in the National Football League had played since 1933 .",0
45,45,45,45,English,Muawiyah came to power after the death of Ali and established a dynasty .,"After the death of Muawiyah , Ali came to power and founded a dynasty .",0
46,46,46,46,English,"In 1994 , Rodrigo Leão left the band to start a solo career , being replaced by Carlos Maria Trindade ( keyboard synthesizer ) .","In 1994 , Rodrigo Leão left the band to start a solo career , replaced by Carlos Maria Trindade ( keyboard synthesizer ) .",1
47,47,47,47,English,"In 1933 Cattell wrote that , of all the Nordic races , `` the European race was the most evolved in intelligence and stability of temperament '' .","In 1933 , Cattell wrote that of all the Nordic races , `` the European race in intelligence and stability of temperament was most developed '' .",1
48,48,48,48,English,"Abies lasiocarpa , commonly called the western North American fir or Rocky Mountain fir , is a subalpine fir tree .","Abies lasiocarpa , commonly known as the western North American fir or Rocky Mountain fir , is a subalpine fir tree .",1
49,49,49,49,English,American Motors provided only technical support in the form of limited aid .,American Motors provided only technical support in the form of limited help .,1
50,50,50,50,English,"The Houston Main Building ( HMB ) earlier the Prudential Building was a skyscraper at the Texas Medical Center in Houston , Texas .","The Houston Main Building ( HMB ) formerly the Prudential Building , was a skyscraper in the Texas Medical Center , Houston , Texas .",1
51,51,51,51,English,"After returning to Paramaribo in 1954 , he settled as a lawyer in Suriname .","After returning to Suriname in 1954 , he settled in Paramaribo as a lawyer .",0
52,52,52,52,English,"The crash of Aerosucre Flight 4544 was the first aviation incident involving Aerosucre , the second being the crash of another Boeing 727 on November 18 , 2006 .","The crash of Aerosucre Flight 4544 was the second flight incident involving Aerosucre , the first being the crash of another Boeing 727 on November 18 , 2006 .",0
53,53,53,53,English,"The Cabot Trail - Episode was filmed on site in Cape Breton , including Peggys Cove and the highlands of Nova Scotia , along the east coast .","The East Coast episode was filmed on location in Nova Scotia , including Peggys Cove and the highlands of Cape Breton , along the Cabot Trail .",0
54,54,54,54,English,Another way to regulate the population of deer is to control the birth rate .,Another way to regulate deer population is to control the birth rate .,1
55,55,55,55,English,"The poem is preserved in four fragmentary manuscripts , one of which is contemporary .","The poem is stored in four contemporary manuscripts , one of which is fragmentary :",0
56,56,56,56,English,"Manu Chao , the groups `` Air '' , Cassius , Mars IV , Les Négresses Vertes , and FFF , and Howie B also participated in the album .","The groups '' Air `` , Howie B , Mars IV , Les Négresses Vertes and FFF and Manu Chao also participated in the album .",0
57,57,57,57,English,The Hudeasa River is a tributary of the Bradu River in Romania .,The Hudeasa River is the tributary of the Bradu River in Romania .,1
58,58,58,58,English,"While the exclusion of African players was not a written rule , no black American player in the National Football League had played since 1933 .","While the exclusion of black players was not a written rule , since 1933 no Afro-American had played in the National Football League .",0
59,59,59,59,English,"His father Patrick Byrne was an MP , TD , Senator and Lord Mayor of Dublin . Another brother Alfie Byrne was also a TD .","His father , Patrick Byrne , was a delegate , senator and lord mayor of Dublin , another brother Alfie Byrne was also TD .",1
60,60,60,60,English,The first series was better received by critics than the second .,The second series was well received by the critics better than the first .,0
61,61,61,61,English,Fanwood is located in the 12th Congressional District and is part of New Jersey 's 22nd Legislative District .,Fanwood is located in the 22nd Congressional District and is part of New Jersey 's 12th state legislative district .,0
62,62,62,62,English,Santa Cruz is situated on the banks of the Santa Cruz River which flows into the eastern part of Laguna de Bay .,"Laguna de Bay is located on the banks of the river Santa Cruz , which flows into the eastern part of Santa Cruz .",0
63,63,63,63,English,The Porte de Vincennes is located where the southeast corner of the 20th arrondissement meets the northeast corner of the 12th arrondissement of Paris .,The Porte de Vincennes is located where the north-eastern corner of the 12th arrondissement meets the south-eastern corner of the 20th arrondissement of Paris .,0
64,64,64,64,English,"On March 5 , 2011 , MTV Hive posted a streaming link to Anni Rossi , performing Rihannas '' Rude Boy `` .","On March 5 , 2011 , MTV Hive posted a streaming link to Rihanna , performing Anni Rossi `` Rude Boy '' .",0
65,65,65,65,English,King Qi met with King Zhao of Qin in western Zhou in 284 BC to form an alliance against Xi .,"In 284 BC , King Qi met with King Zhao of Qin in Western Zhou to form an alliance against Xi .",1
66,66,66,66,English,The Chenzhou Administrative Region in the Tang Dynasty is under the administration of modern Henan in the east of Zhoukou :,The administrative region of Chenzhou in the Tang dynasty is under the administration of modern Henan in eastern Zhoukou :,1
67,67,67,67,English,"`` Pure '' very means simply , and `` Belter '' or `` Belta '' means great or good .",`` Pure '' means simply very and `` Belter '' or `` Belta '' means good or big .,0
68,68,68,68,English,"Stephen Stephen was married on August 29 , 1806 by Benjamin Hough , Justice of Peace , in Jefferson County , Elizabeth Core .","`` 2 '' Benjamin Hough was married on 29 August 1806 by Stephen Ford , Justice of Peace , in Jefferson County with Elizabeth Core .",0
69,69,69,69,English,The species was first formally described by the botanist Stephan Endlicher in 1846 as part of Johann Georg Christian Lehmann 's work `` Irideae . Plantae Preissianae '' .,The species was first formally described in 1846 by the botanist Stephan Endlicher as part of the work `` Irideae Plantae Preissianae '' by Johann Georg Christian Lehmann .,1
70,70,70,70,English,"In 1912 , the Indian National Congress held its 27th session in Bankipore under the presidency of Rao Bahadur Raghunath Narasinha Mudholkar from Amravati , Central Provinces and Berar .","In 1912 , Indian National Congress held its 27th session at Bankipore , under the Presidency of Rao Bahadur Raghunath Narasinha Mudholkar from Central Provinces of Amravati and Berar .",0
71,71,71,71,English,"The most commonly used animal fiber is wool harvested from sheep . For hand knitting and hobby knitting , thick , wool and acrylic yarns are frequently spun .","The most frequently spun animal fiber is wool harvested from sheep . For hand knits and hobby knitting , thick wool and acrylic yarns are often used .",0
72,72,72,72,English,Tipico Co. Ltd and Tipico Casino Ltd were founded in 2004 as international trading companies in the commercial register of the Malta Financial Services Authority .,Tipico Co. Ltd and Tipico Casino Ltd were established in 2004 as international trading companies in the Commercial Register of the Malta Financial Services Authority .,1
73,73,73,73,English,"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","It is located near Oughterard and Clifden , on the N59 road to Lough Corrib , in Connemara .",0
74,74,74,74,English,"On September 14 , 2006 , Lang was signed by the Washington Wizards and released by the Wizards in July 2017 .","On September 14 , 2006 , Lang was signed by the Washington Wizards . In July 2017 , Lang was released by the Wizards .",1
75,75,75,75,English,"The single was released on Radio Airplay in Italy on October 12 , 2012 , and was shipped worldwide on 3 December 2012 .","The single was sent to radio airplay on October 12 , 2012 in Italy and was released worldwide on December 3 , 2012 .",0
76,76,76,76,English,After his service Lockhart lived in Texas but recently moved to Florida .,"After his service , Lockhart lived in Florida , but moved recently to Texas .",0
77,77,77,77,English,"It is found in North America , where it was recorded from Newfoundland and Labrador west to British Columbia , north to Alaska and the Yukon .","It is found in North America , where it has been recorded from Newfoundland and Labrador west to British Columbia , north to Alaska and the Yukon .",1
78,78,78,78,English,"This western Randallstown district includes Woodlawn , Milford Mill , and Baltimore County .","This western randallstown district comprises Woodlawn , Milford Mill and Baltimore County .",1
79,79,79,79,English,He was trained by John Velazquez and ridden by Jockey Dale Romans in his most important race .,He was trained by Dale Romans and ridden by Jockey John Velazquez during his most important races .,0
80,80,80,80,English,"During his time in Savannah , Charles Celestine learned from a newspaper that his son , Sherman , had died during the Savannah campaign , the general had never seen the child .","While in Savannah , Charles Celestine learned from a newspaper that his infant son Sherman had died during the Savannah Campaign ; the general had never seen the child .",1
81,81,81,81,English,The cover was designed by the heraldic artist John Pasche and the single `` Steel Monkey '' has designed the cover of Art Director Andrew Stewart Jamieson .,"The cover was designed by the heraldic artist Andrew Stewart Jamieson , the single `` Steel Monkey '' has designed the cover of Art Director John Pasche .",0
82,82,82,82,English,The MacCormack method is a widely used discretization scheme for the numerical solution of partial hyperbolic differential equations .,"In computational fluid dynamics , the MacCormack method is a widely used discretization scheme for the hyperbolic partial differential solution of numerical equations .",0
83,83,83,83,English,"Wright moved from Chapel Hill , NC to New York .","Wright moved to New York from Chapel Hill , NC .",1
84,84,84,84,English,"The Consonant - Ejective is a kind of velar sound that is used in some spoken languages The symbol in the International Phonetic Alphabet , which represents this sound .","The Velar - Ejective is a kind of consonantal sound that is used in some spoken languages The symbol in the International Phonetic Alphabet , which is this sound .",0
85,85,85,85,English,"European activities became part of Ebel , while the Asian activities were sold to the Hong Kong entrepreneur Joseph Wong and now belong to Stelux Holdings .",The European activities became part of Ebel while the Asian activities were sold to Hong Kong entrepreneur Joseph Wong and are now part of Stelux Holdings .,1
86,86,86,86,English,"Early advisory board members included Alistair Cooke , Saul Bellow , Walter Cronkite , Norman Cousins , Gore Vidal , Norman Podhoretz .","Early advisory members included Walter Cronkite , Norman Vetter , Gore Vidal , Norman Podhoretz , Saul Bellow , and Alistair Cooke .",1
87,87,87,87,English,Petkeljärvi National Park is a national park in Ilomantsi in the Northern Karelia region of Finland .,The Petkeljärvi National Park is a national park in Finland in the region of Ilomantsi in North Karelia .,0
88,88,88,88,English,"They also published the 5th track on the album , `` Vices '' , as the second single from the album on June 13 .","They also released the 5th track on the album , `` Vices , '' on June 13 as the second single from the album .",1
89,89,89,89,English,Stoke beat Sheffield Wednesday and Huddersfield Town before losing to Peterborough United in the fourth round .,Stoke beat Peterborough United and Huddersfield Town before losing in the fourth round against Sheffield Wednesday .,0
90,90,90,90,English,"Asked how to say his name , he told `` The Literary Digest '' My name is pronounced as if `` ear ' ; en-house '' spelled .","Asked how to say his name , he told `` The Literary Digest '' My name is spelled as if pronounced , ear 'apos ; enhouse `` .",0
91,91,91,91,English,The cultivation was introduced in 1880 by Fernando Heydrich in Matanzas in Cuba .,"In Matanzas its cultivation was introduced in 1880 , by Fernando Heydrich in Cuba .",0
92,92,92,92,English,"If there are several grammatical categories in a sentence , only the first wears the plural marker .","If there are several grammatical categories in a sentence , only the plural wears the first marker .",0
93,93,93,93,English,The regime left Philadelphia in October 1777 to join General George Washington 's main army outside of Boston .,The regiment left Philadelphia in October 1777 to join General George Washington 's Main Army outside Boston .,1
94,94,94,94,English,"In 1974 Lao PDR established the Stage II fund with the help of the World Bank , the United Nations , and the Asian Development Bank .","With the support of the World Bank , the United Nations , and the Asian Development Bank , Lao PDR founded the Stage II fund in 1974 .",1
95,95,95,95,English,He later used it as a symbol for the Nazi party and placed it on a white circle and a red background to use it as a flag .,He later used it as a symbol for the Nazi party and placed it on a red circle and a white background to use it as a flag .,0
96,96,96,96,English,"To develop the map for Hoth , the designers have received as much source material as possible from `` The Empire Strikes Back '' to create an authentic reproduction .","To create the map for Hoth , the designers obtained as much source material from `` The Empire Strikes Back '' as possible so to develop an authentic reproduction .",0
97,97,97,97,English,"He is married to Elizabeth `` Betsy '' Katz . He is the father of Adam , Nathaniel and Sara Hundt .","He is married to Elizabeth `` Betsy '' Katz , father of Adam , Nathaniel and Sara Hundt .",1
98,98,98,98,English,A house is charged with angry energy and gives shape to the necromantic spirit within .,A house becomes charged with necromantic energy and gives shape to the angry spirit within .,0
99,99,99,99,English,"While Oros worked under Walker on Ford car and truck designs , Engel concentrated on Lincoln and Mercury vehicles .","While Oros worked on Ford 's car and truck designs under Walker , Engel focused on Lincoln and Mercury vehicles .",1
100,100,100,100,English,"Hirasea goniobasis is a species of terrestrial pulmonate air-breathing land snail , a small gastropod mollusk in the family Endodontidae .","Hirasea goniobasis is a species of small air-breathable snail , a terrestrial pulmonate gastropod mollusk in the family Endodontidae .",0
101,101,101,101,English,"Premalignant lesions are apparently a typical tissue which appears abnormal under microscopic examination , and in which cancer is more likely to occur than in its morphologically normal counterpart .","Premalignant lesions are apparently a typical tissue , which appears abnormal in microscopic examinations and in which cancer is more likely than its morphologically normal counterpart .",1
102,102,102,102,English,Abu Halifa or Abu Hulayfah or Abu Huleifa or Abu Haleifah is a small town in the Kuwait of Al Ahmadi governorate in the southern Abu Halifa District .,Abu Halifa or Abu Hulayfah or Abu Huleifa or Abu Haleifah is a small town in the Kuwait of the Al Ahmadi Governorate in southern Abu Halifa District .,1
103,103,103,103,English,Israel is an album by American jazz trombonists Kai Winding and J. J. Johnson featuring performances released in 1968 and recorded on the C,Israel is an album by the American jazz trombonists Kai Winding and J. J. Johnson with performances published in 1968 and recorded on C .,1
