,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,language,premise,choice1,choice2,question,label
0,0,0,0,0,Chinese,该物品用气泡包装纸包着。,它很易碎。,它很小。,cause,0
1,1,1,1,1,Chinese,我掏空了口袋。,我找到了一张票根。,我找到了一件武器。,effect,0
2,2,2,2,2,Chinese,白蚁入侵了这所房子。,白蚁从房子里消失了。,白蚁吃穿了房子里的木头。,effect,1
3,3,3,3,3,Chinese,旅客到达边境。,巡逻员检查了他们的护照。,巡逻人员指控他们走私。,effect,0
4,4,4,4,4,Chinese,办公室关门了。,那是个假期。,那是个夏天。,cause,0
5,5,5,5,5,Chinese,这个女孩精疲力竭。,她玩了跳棋。,她跳了绳。,cause,1
6,6,6,6,6,Chinese,那女人排队的位置没有了。,越来越多的人开始排队。,她走出了队外。,cause,1
7,7,7,7,7,Chinese,那女孩捏了捏鼻子。,婴儿在围嘴上流口水。,婴儿弄脏了尿布。,cause,1
8,8,8,8,8,Chinese,乐队演奏了他们的热门歌曲。,观众随着音乐拍手。,观众礼貌地沉默着。,effect,0
9,9,9,9,9,Chinese,这个女孩想感谢她的数学老师。,那个女孩放学后被留堂了。,这个女孩给老师带来了一个苹果。,effect,1
10,10,10,10,10,Chinese,年轻的露营者们感到害怕。,他们的营地顾问给他们讲了一个鬼故事。,他们在营火上烤了棉花糖。,cause,0
11,11,11,11,11,Chinese,那人的头撞了一下。,他陷入了沉思。,他得了脑震荡。,effect,1
12,12,12,12,12,Chinese,我的支票被拒付了。,我的银行帐户是空的。,我加薪了。,cause,0
13,13,13,13,13,Chinese,该男子的电子邮件收件箱中充斥着垃圾邮件。,他删除了垃圾邮件。,他群发了电子邮件。,effect,0
14,14,14,14,14,Chinese,水手被隔离了。,他接触了这种疾病。,他从疾病中康复了。,cause,0
15,15,15,15,15,Chinese,这个女孩记住了密码。,她背下来给自己听了。,她忘了写下来。,cause,0
16,16,16,16,16,Chinese,我把水倒进了玻璃杯中。,这水解了我的渴。,玻璃杯变满了。,effect,1
17,17,17,17,17,Chinese,他的朋友结束讲话的时候，那个人保持着沉默。,他想支持他的朋友。,他在思考他朋友的话。,cause,1
18,18,18,18,18,Chinese,这次事故是我的错。,我感到内疚。,我起诉了。,effect,0
19,19,19,19,19,Chinese,链条破裂了。,链条缠绕在轮胎上。,链条中有一节断开了。,cause,1
20,20,20,20,20,Chinese,这对夫妇决定妥协。,他们厌倦了争论。,他们避免讨论这个问题。,cause,0
21,21,21,21,21,Chinese,该名妇女决定竞选公职。,她雇用了一位竞选策划人。,她在法庭上作证。,effect,0
22,22,22,22,22,Chinese,该名男子预计他的旅途中的天气会很冷。,他把保暖的衣服装进行李箱里。,他带着一个大行李箱旅行。,effect,0
23,23,23,23,23,Chinese,学生知道这道问题的答案。,他举起了手。,它偷懒了。,effect,0
24,24,24,24,24,Chinese,这个男人的眼睛流泪了。,他的眼睛进灰了。,他戴上了护目镜。,cause,0
25,25,25,25,25,Chinese,这位玩家连续赢得了五场比赛。,她的对手指责她作弊。,她的对手为她感到难过。,effect,0
26,26,26,26,26,Chinese,老师撕毁了这位学生的试卷。,他抓住了这位学生作弊。,学生的答案是错误的。,cause,0
27,27,27,27,27,Chinese,我讲话停了下来了。,我失声了。,我气喘吁吁。,cause,1
28,28,28,28,28,Chinese,冷冻食品解冻了。,我把它放进了微波炉里。,我用保鲜膜盖住了它。,cause,0
29,29,29,29,29,Chinese,员工假装生病。,他得了胃痉挛。,他想休息一天。,cause,1
30,30,30,30,30,Chinese,那女孩落在游泳池里。,她在泳池甲板上奔跑。,她跳下了跳水板。,cause,1
31,31,31,31,31,Chinese,电影票卖完了。,这是电影的首映日。,这部电影的评论不佳。,cause,0
32,32,32,32,32,Chinese,该男子减了肥。,人们孤立他。,人们称赞他。,effect,1
33,33,33,33,33,Chinese,女孩的手起了水泡。,她打了一封信。,她爬上了一根绳子。,cause,1
